experiment,block,n_folds,val_iou_mean,val_iou_std,val_f1_mean,val_f1_std,val_precision_mean,val_recall_mean
A3_s2_9band,A,5,0.5391247816259022,0.07145147113261473,0.6977484355596204,0.06059169441716627,0.7720484152528828,0.6598441225276044
LSTM7lite_sanity,sanity,5,0.5515315060646125,0.06355155854077162,0.7087802120724722,0.05301732190745384,0.7617990775982012,0.6698097707797283
